week,babyDevelopment,pregnancySymptoms,pregnancyChecklist,images
2,"At two weeks, the egg is a few days old, as conception occurred the same week since due dates are determined by the last menstrual period. The uterus experiences an increase in the hormones estrogen and progesterone. The hormones activate the endometrium, the uterus lining, to thicken, creating a womb, able to support the fertilized egg.","Slippery cervical mucus - cervical mucus (vaginal discharge) will be clear, slippery, and stretchy; Mild cramping - mild cramps or sharp pains will occur in the abdomen; Increased sex drive - rise in sex drive; Heightened sense of smell - a sense of smell gets stronger and maybe sensitive to male pheromones; Tender breasts - hormonal changes may cause breasts to feel more full or sore; Cervical changes - the cervix will get softer, higher, wetter, and more open; Boost in basal body temperature (BBT) - the lowest body temperature at rest will increase","Take vitamins - take prenatal vitamins that have at least 400mcg of folic acid. Take also iron, vitamin D, and calcium supplements; Book an appointment with a Healthcare Provider - visit a healthcare provider to get more information about your pregnancy and body; Have Frequent Sex - having sex regularly can help ensure fertilization; Research - research what foods are nitrous during pregnancy, and start taking care of your mental health and physical well-being; Prepare the body for Pregnancy - try weight training and yoga to help strengthen the core, and always consult with a health professional about what exercises are best for you","https://assets.babycenter.com/ims/2018/06/pregnancy-week-2-fertilization_square.png; https://assets.babycenter.com/ims/2023/01/2-weeks-baby-in-body-jan-2023_square.png"
3,"At this stage, the egg is developing into a small ball of several hundred cells attaching to the lining of the uterus. The middle cells will form into the embryo, while the outer cells will development into the placenta.","Gas and bloating - progesterone will cause the muscles in the body to relax, causing the digestion system to slow down. This leads to gas and bloating.; Sore Breasts - Breast may feel swollen, tender, or tingly; nipples may be more sensitive and uncomfortable; Spotting - implantation bleeding may occur, when there is light bleeding. If there is pain with spotting contact a health professional; Basal body temperature (BBT) stays high - the BBT will stay high throughout the week","Avoid overheating - avoid steam baths, hot tubs, and saunas, they cause an increase risk of neural tube defects in babies; Monitor emotions - talk to others if stressed or worried, seek calming outlets; Eat healthy meals and snacks - eat fruits, vegetables, low-mercury fish, whole grains; foods that include vitamin C, iron, and calcium; Reduce coffee intake - limit caffeine intake to around one cup of coffee a day; Seek help for quitting addictions - talk to a health professional about seeking a program or counselor to help with quitting smoking, drinking, or drug addictions; Improve Sleep - create good sleeping habits for future months; Ensure home and work environments are safe - talk to a health care provider if you work in an environment where you come in contact daily to chemicals, loud noises, radiation, or if you have to constantly stand or lift heavy objects.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-3-blastocycst_square.png; https://assets.babycenter.com/ims/2023/01/3-weeks-baby-in-body-jan-2023_square.png"
4,"The embryo now consists of two layers known as the hypoblast and epiblast; they will start to form the baby’s organs for the following weeks. The baby is the size of a poppy seed.","Tender, swollen breasts - the breast will grow tender and the nipples will darken; Fatigue - the large increase in progesterone may cause women to become exhausted; Nausea/Vomiting - 80% of women will experience morning sickness, however it can occur at any part of the day; Gas and Bloating - the rapid increase of progesterone also may make the digestive system relax, causing bloating and gas; Cramping - if you feel cramps with spotting, you may need to contact a health professional; Mood Swings - hormones, stress, and fatigue may all result in mood swings","Book a Prenatal Appointment - schedule a doctor's appointment to ensure your first weeks of pregnancy are going smoothly; Ensure Medicine is safe for Pregnancy - check to see if the medicine is safe for pregnancy, contact a health provider if needed; Soothe Digestive System - eat smaller meals, eat slower, chew food well, drink less water, avoid carbonated drinks, gum, or sorbitol if experiencing bloating or gas; Research - research what may come for the rest of pregnancy and start to prepare","https://assets.babycenter.com/ims/2018/06/pregnancy-week-4-yolk-sac_square.png; https://assets.babycenter.com/ims/2023/01/4-weeks-baby-in-body-jan-2023_square.png"
5,"The embryo is now consists of three layers: ectoderm, mesoderm, and endoderm; these layers will later form the organs and tissues The brain, spinal cord, and nerves are beginning to develop in the top layer of the embryo; the heart and circulatory system will start to develop in the mesoderm. The baby is the size of a sesame seed.","Frequent urination - the pregnancy hormones and the increase in blood volume will cause you to need to urinate more; Tender, swollen breasts - the breast will feel swollen, sore, tingly, and sensitive; Fatigue - the change in hormones may be the reason as to why you are so tired, so ensure you are getting plenty of sleep; Spotting - about 25% of women experience spotting in the first trimester; Morning sickness - changing your diet and lifestyle, natural remedies, and medications may reduce morning sickness symptoms; Food aversions - the smell of foods may start you to feel sick at this point","Choose a Healthcare provider - find a healthcare provider to care for you throughout your pregnancy; Create a family health history - look at the health history for both sides of the families to determine if there are any chronic conditions or genetic abnormalities in your family; Take vitamins - taking vitamins is vital to get enough folic acid; Reduce caffeine intake - limit caffeine intake to less than 200 mg per day or about one cup a day","https://assets.babycenter.com/ims/2018/06/pregnancy-week-5-amniotic-sac_square.png; https://assets.babycenter.com/ims/2023/01/5-weeks-baby-in-body-jan-2023_square.png"
6,"At this stage of pregnancy, there is cardiac activity. There are also dark spots where the eyes and nostrils will start to develop, and small depressions mark where the baby’s ears will be. The arms and legs are small paddles; a small tail will also form which will eventually disappear. The baby is around the size of a lentil bean.","Morning sickness - morning sickness may occur at any part of the day; Need to pee - the increase in blood in the body will cause the kidneys to process extra fluids, ensure you are hydrated; Mood swings - hormonal changes, stress, and fatigue may cause mood swings; Tender, swollen breasts - breasts may feel swollen, sore, tingly, and sensitive; Fatigue - the hormonal changes may cause women to feel tired; Metallic taste - there may be a metallic taste in your mouth due to the increase in estrogen; Strange dreams - your dreams are trying to process the new changes that are rapidly occurring; Headaches - ensure to get enough sleep, food, water, and exercise, all of which can reduce headaches. Acetaminophen is the recommended drug to take if feeling this symptom","Schedule Prenatal Visit - book an appointment with your doctor to discuss your health history, habits, and family health history; Learn about Foods to avoid - learn about what foods are unsafe to consume during pregnancy; Research Prenatal testing options - look at different testing options to determine the chances of your baby having Down syndrome or any other chromosomal difference; Ensure work environment is safe - determine if the area you are working in is safe and that they; Reduce stress - find outlets to help reduce stress; Create a To-do list - create a to-do list of tasks and items you should get for your pregnancy","https://assets.babycenter.com/ims/2018/06/pregnancy-week-6-webbed-hands_square.png; https://assets.babycenter.com/ims/2023/01/6-weeks-baby-in-body-jan-2023_square.png"
7,"This week marks significant development in your baby's vision and digestive system, with the main parts of the eye nearly fully formed shortly after their initial development, and the beginnings of the stomach, esophagus, liver, and pancreas. Additionally, the brain and spinal column have not only formed but are rapidly expanding, with the brain gaining an average of 250,000 cells per minute during pregnancy. The baby is the size of a blueberry.","Heightened sense of smell - Temporary increase, often causing aversion to familiar smells, linked to rising estrogen levels;Food aversions - Sudden dislike for certain foods, another estrogen-related symptom, usually improves after the first trimester;Frequent urination - Common early pregnancy sign due to hormonal changes increasing blood flow to the kidneys;Mood swings - Emotional fluctuations around 6 to 10 weeks, attributed to stress, fatigue, and hormonal shifts;Excessive saliva - Increased saliva production or decreased swallowing, managed by oral hygiene and dietary adjustments.;Constipation - Affects up to half of pregnant women, mitigated by high-fiber diet, hydration, exercise, and appropriate prenatal vitamins;Heartburn - Common discomfort, manageable through dietary adjustments, smaller meals, and proper posture.","Eat Well - Strive for a nutritious diet; if nausea hinders this in the first trimester, do your best and consider the 12 best foods for pregnancy;Connect with Your Partner -  Enhance bonding before the baby arrives through date nights and shared discussions on parenting and future aspirations;Predict Your Baby's Sex -  For fun, try unscientific gender predictor tests, understanding they have a 50/50 accuracy;Decide When to Announce Pregnancy - Choose the timing based on personal and professional considerations, and plan a creative announcement.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-7-tailbone_square.png;https://assets.babycenter.com/ims/2023/01/7-weeks-baby-in-body-jan-2023_square.png"
8,"Your baby's first movements begin as spontaneous twitches and stretches around 7 to 8 weeks, visible on ultrasound, but won't be felt by you until between 16 and 22 weeks. Meanwhile, your baby's respiratory system and a network of nerves are developing, with breathing tubes extending to the lungs and nerves connecting to various muscles, tissues, and organs like the eyes and ears. The baby is the size of a kidney bean.","White discharge - Increased white creamy discharge in early pregnancy is normal, attributed to higher estrogen levels, but green, smelly, or itchy discharge may indicate an infection.;Swollen Breasts - Pregnancy hormones cause breasts to grow, potentially increasing cup size, and can lead to visible veins, darker nipples, and more pronounced bumps on areolas.;Bloating - Hormonal changes in early pregnancy can cause abdominal bloating, making clothes feel snug at the waistline.;A heightened sense of smell - food aversions are common in early pregnancy due to surging hormones, usually improving by the second trimester.;Pregnancy dreams - can be vivid and strange, reflecting the excitement, fears, and worries about becoming a parent.;Headaches - during pregnancy headaches are common, with safe relief options including acetaminophen (under guidance), massages, compresses, relaxation techniques, and showers.;Severe morning sickness - hyperemesis gravidarum, affects a small percentage of pregnant women, leading to dehydration and weight loss; immediate medical consultation is advised for severe symptoms.","Start documenting your bump - Document your growing pregnancy bump weekly for a fun time-lapse comparison, starting even before the bump is noticeable.;Pay attention to mental health - Monitor and address your mental health during pregnancy, especially if experiencing prolonged or severe mood changes.;Get good pregnancy sleep - Enhance pregnancy sleep by practicing good sleep hygiene, using the right pillows, and adjusting your diet and bedtime routine for better rest.;Use sunscreen - Apply sunscreen to prevent melasma, a condition causing darker patches on the skin due to pregnancy-related hormonal changes.;Learn about pregnancy weight gain - Understand and manage pregnancy weight gain by considering your pre-pregnancy BMI and using resources like a pregnancy weight gain calculator.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-8-brain-nerve-cells_square.png;https://assets.babycenter.com/ims/2023/01/8-weeks-baby-in-body-jan-2023_square.png"
9,"Ten tiny tooth buds are forming in your baby's gums, which will become the 20 baby teeth that appear between 4 and 7 months, although it's rare, some babies are born with a tooth. The four chambers of your baby's heart have formed, producing a heartbeat that many describe as the thunder of galloping horses, and the placenta, a new organ attached to the uterus and connected through the umbilical cord, is now developed enough to support the baby's growth, becoming about 9 inches in diameter by the end of pregnancy. The baby is the size of a grape.","Food Cravings - Hormonal changes during pregnancy impact taste and smell, leading to cravings that may or may not be linked to nutritional needs; indulge in moderation but report any nonfood cravings to your healthcare provider;Food Aversions - Rapid increases in estrogen can make previously enjoyed foods repulsive, commonly affecting meat, eggs, dairy, spicy foods, strong-smelling foods, and coffee.;Heightened Sense of Smell - Many pregnant women experience an increased sensitivity to smells, which can contribute to nausea; consider alternative meal arrangements if affected;Nausea and Vomiting - Often peaking in the first trimester, morning sickness is thought to protect the fetus from toxins, with remedies available to alleviate symptoms.;Heartburn - Hormonal and physical changes can cause heartburn, characterized by a burning sensation in the throat and chest; avoid certain foods and drinks to manage symptoms.;Constipation - Affecting up to half of pregnant women, constipation can be relieved through a high-fiber diet, plenty of water, and pregnancy-safe exercises","Start a daily bonding ritual - Dedicate time each day to connect with your baby, either through quiet reflection, journaling, or writing letters, focusing on the journey ahead and the type of parent you aspire to be.;Involve your partner - Share the pregnancy experience with your partner by involving them in activities like talking to the baby, reading pregnancy books together, and making decisions about the baby's future;Incorporate walking into your routine - Walking is a safe and recommended form of exercise during pregnancy, suitable for continuation or gradual introduction, with precautions like using SPF, staying hydrated, and adjusting intensity as advised by a healthcare provider;Ensure vaccination - Getting vaccinated against the flu and COVID-19 during pregnancy is safe and protects both the mother and the baby, with antibodies passed on to the baby providing early protection;Be cautious with household chemicals - Evaluate and limit exposure to potentially harmful household substances, including certain cleaning products, pesticides, and lead in drinking water, to protect your pregnancy.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-9-finger-touch-pads_square.png;https://assets.babycenter.com/ims/2023/01/9-weeks-baby-in-body-jan-2023_square.png"
10,"Your baby's eyes have fully formed with the cornea, iris, pupil, lens, and retina, but the eyelids will remain shut until around 27 weeks of pregnancy. Baby's teeth are beginning to harden and connect to the jaw bone, with the first tooth typically appearing between 6 to 10 months, while early brain development is marked by a temporarily bulging forehead and the formation of synapses in the spinal cord allowing limb movement. The baby is the size of a kumquat.","Body changes - Slight weight gain and bloating may thicken your midsection, requiring stretchy waistbands and maternity fashion hacks for comfort;Increased salivation - especially during nausea, is common in pregnancy; managing it can include drinking more water, chewing gum, or sucking on hard candy.;Vaginal discharge - An increase in odorless or mild-smelling milky white vaginal discharge due to higher estrogen is normal; consult a healthcare provider for any sudden changes;Newly visible veins - Prominent blue veins across the chest, breasts, and belly, as well as possible varicose veins, are due to increased blood volume, often improving post-birth.;Mood swings - Mood swings during pregnancy are normal, influenced by stress, fatigue, and hormonal changes; persistent negative feelings may indicate depression, necessitating professional help.;Morning sickness - Morning sickness peaks around 9 or 10 weeks due to high hCG and estrogen levels but often improves early in the second trimester as hCG levels drop.;Dizziness - lightheadedness can occur due to increased blood volume; immediate sitting or lying down is advised for relief.","Review your finances - to accommodate new expenses and possibly reduced income with a new baby, including revising insurance, wills, and understanding tax implications.;Try prenatal yoga - for safe exercise tailored for expecting moms, offering benefits like stretching, breath awareness, and preparation for labor and birth.;Manage morning sickness - by eating small, frequent meals, preferring cold foods, and considering safe medications as advised by your healthcare provider.;Be vigilant about UTIs during pregnancy - reporting any symptoms like pain during urination or cloudy urine to your healthcare provider for treatment.;Decide on the timing for your pregnancy announcement - considering personal comfort and workplace dynamics, with no specific requirement on when to inform your employer but doing so in a timely manner can facilitate maternity leave planning.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-10-fingernails_square.png;https://assets.babycenter.com/ims/2023/01/10-weeks-baby-in-body-jan-2023_square.png"
11,"By the end of the first trimester, your baby's fingers and toes have become distinct and longer, all vital organs are in place with many starting to function, including the heart with its four chambers beating. Additionally, the baby's genitals begin to develop, with the external sex organs starting to differentiate around 11 weeks, although it takes several more weeks for the differences to be easily identifiable on an ultrasound. The baby is the size of a fig.","Constipation and Gas - Hormonal changes during pregnancy can slow digestion, causing constipation, gas, and bloating; staying hydrated, eating high-fiber foods, and exercising can help alleviate these issues.;Heartburn - Many women experience heartburn for the first time during pregnancy due to hormonal changes, which can be mitigated by eating smaller meals, avoiding fatty and spicy foods, and not lying down after eating.;Conflicting Emotions - The profound life changes that come with having a baby can provoke a mix of excitement and anxiety; prioritizing self-care is essential for both maternal and baby's health.;Fatigue -  Pregnancy fatigue is common but may improve in the second trimester; maintaining energy levels through nutritious snacks, adequate sleep, and reducing unnecessary tasks is recommended.;Vaginal Discharge - Increased estrogen can lead to more vaginal discharge, which should be clear to milky-white and mild-smelling; consult a healthcare provider if the discharge is off-color, smelly, or accompanied by discomfort.;Food Aversions: Experiencing food aversions is normal during pregnancy, affecting about 60% of pregnant women, often improving in the second trimester.;Headaches-  Headaches may occur due to hormonal changes, stress, and other factors, with some safe relief options including exercise, avoiding triggers, and approved medications.","Learn about Pregnancy Weight Gain - Aim for a 1 to 5-pound gain in the first trimester if starting at a healthy weight; use a weight gain calculator and consult your doctor for concerns.;Build Your Support Network - Connect with other moms and expecting moms for advice and shared experiences, including online in BabyCenter Birth Clubs and in-person through prenatal classes.;Plan a Babymoon - Consider a vacation during pregnancy, ideally in the second trimester for more energy, and research destinations, safety tips, and packing essentials.;Save Time at the Doctor's Office - Schedule prenatal appointments early in the morning or right after lunch to minimize waiting time due to fewer patient backlogs.;Eat Calcium-Rich Foods - Ensure a daily intake of 1000 mg of calcium to support baby's development and prevent bone depletion, through diet and possibly supplements.;Take Care of Your Skin - Address pregnancy-related skin issues with plenty of water, sunscreen, and frequent moisturizing, noting that some conditions are unavoidable.","https://assets.babycenter.com/ims/2018/06/pregnancy-week-11-tooth-buds_square.png;https://assets.babycenter.com/ims/2023/01/11-weeks-baby-in-body-jan-2023_square.png"
